EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 28/09/2023 09:11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: Influenza - Avian,,,,,,,,,,,,,,,,,
Serotype: H5N1 HPAI,,,,,,,,,,,,,,,,,
Region: Global,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: Confirmed,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
363167,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Wales,OB_125370 - WB455 - FISHGUARD AND GOODWICK  PEMBROKESHIRE,51.99,-4.97,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),19/09/2023,22/09/2023,,
362870,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Santa Catarina,Laguna,-28.493022,-48.776286,OIE,Confirmed,Wild,South American Tern,14/09/2023,19/09/2023,,
362871,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,Bertioga,-23.776364,-45.949631,OIE,Confirmed,Wild,Unspecified Bird,13/09/2023,19/09/2023,,
362876,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,Santos,-23.9814,-46.311,OIE,Confirmed,Wild,South American Tern,12/09/2023,19/09/2023,,
362703,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Ireland,Wexford,Ballybrennan quarry,52.26,-6.43,OIE,Confirmed,Wild,Peregrin Falcon:falco Peregrinus(Falconidae),11/09/2023,15/09/2023,,
362754,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Koksijde,51.129802,2.657445,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),11/09/2023,19/09/2023,,
363170,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Northern Ireland,OB_125347 - 2023-011273 - LISBURN AND CASTLEREAGH,54.47,-6.08,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),11/09/2023,22/09/2023,,
362559,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,OB_124981 - SP_35485000006 - SANTOS,-23.968803,-46.351542,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),08/09/2023,13/09/2023,,
362700,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Northern Ireland,OB_125000 - 2023-010893 - ANTRIM AND NEWTOWNABBEY,54.72,-6.17,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),08/09/2023,15/09/2023,,
362875,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,Praia Grande,-24.027638,-46.485011,OIE,Confirmed,Wild,Royal Tern,08/09/2023,19/09/2023,,
362560,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,OB_124980 - SP_35187010009 - GUARUJÁ,-23.905227,-46.152238,OIE,Confirmed,Wild,Royal Tern,07/09/2023,13/09/2023,,
362696,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,Wangerooge,53.789783,7.901984,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),07/09/2023,15/09/2023,,
362561,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,OB_124979 - SP_35510090004 - SÃO VICENTE,-23.970614,-46.384881,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),04/09/2023,13/09/2023,,
362872,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,Itanhaém,-24.247883,-46.891369,OIE,Confirmed,Wild,Royal Tern,03/09/2023,19/09/2023,,
362789,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Finland,Western Finland,Salo,60.44925,22.25924,OIE,Confirmed,Wild,White Tailed Eagle (Haliaeetus Albicilla),02/09/2023,14/09/2023,,
362702,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,OB_124991 - WB453 - STEEPHOLM  SOMERSET,51.33,-2.5,OIE,Confirmed,Wild,Falcon,01/09/2023,15/09/2023,,
363047,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Haute-Normandie,OB_125120 - IA20231415 - MERS-LES-BAINS (80533),50.06489,1.38129,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),01/09/2023,21/09/2023,,
362873,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,Bertioga,-23.802858,-46.020031,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),30/08/2023,19/09/2023,,
362874,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Rio De Janeiro,São João da Barra,-21.823611,-41.019722,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),30/08/2023,19/09/2023,,
361682,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Scotland,Logie  Moray,57.53,-3.66,OIE,Confirmed,Wild,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),28/08/2023,01/09/2023,,
363051,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Svalbard and Jan Mayen Islands,Administrative unit not available,Longyearbyen  Svalbard,78.2194,15.648,OIE,Confirmed,Wild,Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes,28/08/2023,22/09/2023,,
362701,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Scotland,OB_124992 - WB454 - SEAGREEN OFFSHORE WIND FARM  ANGUS,56.35,-3.2,OIE,Confirmed,Wild,Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes,26/08/2023,15/09/2023,,
361456,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Santa Catarina,Penha,-26.79925,-48.638555,OIE,Confirmed,Wild,Southern Lapwing ,25/08/2023,29/08/2023,,
362640,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Northern Ireland,North Down and Ards,54.66,-5.67,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),25/08/2023,08/09/2023,,
362643,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,OB_125005 - 23-015-01160 - FEHMARN,54.41,11.16,OIE,Confirmed,Wild,Swan,24/08/2023,15/09/2023,,
