"","time","wildlife_health_important","wildlife_path_affect_livestock","wildlife_path_affect_phealth","hum_liv_path_affect_wildlife","dom_animals_concern","dead_found","sick_injured_found","livestock_found","patrol_length","patrols_per_month","healthy_wl_recorded","how_healthy_wl_recorded","healthy_wl_data_recorded","healthy_wl_data_in_smart","healthy_wl_data_other","dead_wl_recorded","how_dead_wl_recorded","dead_wl_data_recorded","dead_wl_data_in_smart","dead_wl_data_other","injured_wl_recorded","how_injured_wl_recorded","injured_wl_data_recorded","injured_wl_data_in_smart","injured_wl_data_other","sick_wl_recorded","how_sick_wl_recorded","sick_wl_data_recorded","sick_wl_data_in_smart","sick_wl_data_other","dom_animals_in_pa","dom_animals_recorded","dom_animal_in_smart","dom_animal_health_status_recorded","dom_animal_health_status_smart","other_wl_health_data","why_not_wl_health_data","smart_version","smart_connect","set_up_connect","smart_fully_rolled_out","add_health_atributes","position","survey","or_number_pas","local"
"1","10/27/2022 10:47:53","Agree","Agree","Agree","Agree","Agree","Sometimes","Very rarely","Sometimes","Between four days and a week",2,"Yes","Healthy wildlife is recorded in another way","Species, Body condition","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","No","","","","","Yes","Yes","No","No","","not yet","Lack of expertise on how to properly record this information, Never thought about it, We use the default SMART data model which does not include sick, dead or injured wildlife","SMART mobile 7","Yes","","Under pilot","Yes","I am a general manager or administrator of one or more protected areas that uses SMART data",1,1,TRUE
"2","10/27/2022 11:06:48","Strongly agree","Agree","Agree","Agree","Strongly agree","Very frequently","Sometimes","Very frequently","Less than a day",50,"Yes","Each individual healthy animal is recorded as an individual observation","Species, Age, Sex, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual sick animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","No","","","","Location ","Dead, sick or injured wildlife are seldom found","6.3","No","Yes, ","Fully rolled-out","Yes","I am a general manager or administrator of one or more protected areas that uses SMART data",2,1,TRUE
"3","10/27/2022 11:21:32","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Sometimes","Occasionally","Rarely","Less than a day",14,"Yes","Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”).","Photographs, Species, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","No","","","","","No","","","","","If we do joint wildlife rehabilitation releases with other NGOs","We use the default SMART data model which does not include sick, dead or injured wildlife","Version 7.5.2","Yes","","Fully rolled-out","No","I am directly responsible for managing SMART data in one or more protected areas",3,1,TRUE
"4","10/27/2022 11:44:11","Strongly agree","Strongly agree","Agree","Agree","Agree","Very frequently","Occasionally","Always","Less than a day",300,"Yes","Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified)","Species, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Species, Suspect cause of injury, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","No","","No","We use the default SMART data model which does not include sick, dead or injured wildlife","6.3","No","Yes","Partially rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",4,10,FALSE
"5","10/27/2022 11:50:19","Agree","Agree","Neutral","Agree","Agree","Sometimes","Sometimes","Very frequently","Between four days and a week",3500,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","Yes","Yes","Yes","No","","Age of sign of dead animal","Lack of expertise on how to properly record this information","6.3 and upgrading to 7.5.4 in few weeks time ","Yes","","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",5,10,FALSE
"6","10/27/2022 12:41:14","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Occasionally","Occasionally","Occasionally","Between one to two days",17,"Yes","Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”).","Species, Age, Sex, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).","Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).","Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).","Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","No","","","","During patrol within the Gbele Resource Reserve suspected wildlife health cases  are reported to the officer in charge of zoonotic disease control. This reporting is done through a designed template to capture all relevant information such as species, symptoms, location, pictures etc ","We use the default SMART data model which does not include sick, dead or injured wildlife","Version 6.3.0","No","Yes by end of 2022","Partially rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",6,1,TRUE
"7","10/27/2022 15:58:29","Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE
"8","10/27/2022 16:10:35","Agree","Neutral","Neutral","Disagree","Agree","Occasionally","Sometimes","Occasionally","Less than a day",10,"No","","","","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Suspect cause of injury","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","No","","","","No","Lack of expertise on how to properly record this information","7.5.4","Yes","","Partially rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",8,1,TRUE
"9","10/27/2022 17:24:01","Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Very rarely","Sometimes","Sometimes","Between four days and a week",2,"Yes","Each individual healthy animal is recorded as an individual observation","Species, Age, Sex","None of these items are recorded in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Species, Age, Sex","None of these items are recorded in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Species, Age, Sex","None of these items are recorded in the corresponding SMART Conservation Area","","Yes","Each individual sick animal is recorded as an individual observation","Species, Age, Sex","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","We use the default SMART data model which does not include sick, dead or injured wildlife","5","Yes","","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",9,5,FALSE
"10","10/27/2022 19:51:58","Strongly disagree","Neutral","Neutral","Strongly disagree","Disagree","Very frequently","Occasionally","Sometimes","Between four days and a week",20,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","None of these items are recorded in the corresponding SMART Conservation Area","Spread sheet in excel ","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Age, Sex, Body condition, Suspect cause of injury, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual sick animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other","None of these items are recorded in the corresponding SMART Conservation Area","Spread sheet in excel ","Yes","Yes","Yes","No","","Duration of treating the animal if vet is available ","We use the default SMART data model which does not include sick, dead or injured wildlife","6.3","Yes","","Partially rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",10,1,TRUE
