"","time","protected_area","marine","wildlife_health_important","wildlife_path_affect_livestock","wildlife_path_affect_phealth","hum_liv_path_affect_wildlife","dom_animals_concern","dead_found","sick_injured_found","livestock_found","patrol_length","patrols_per_month","healthy_wl_recorded","how_healthy_wl_recorded","healthy_wl_data_recorded","healthy_wl_data_in_smart","healthy_wl_data_other","dead_wl_recorded","how_dead_wl_recorded","dead_wl_data_recorded","dead_wl_data_in_smart","dead_wl_data_other","injured_wl_recorded","how_injured_wl_recorded","injured_wl_data_recorded","injured_wl_data_in_smart","injured_wl_data_other","sick_wl_recorded","how_sick_wl_recorded","sick_wl_data_recorded","sick_wl_data_in_smart","sick_wl_data_other","dom_animals_in_pa","dom_animals_recorded","dom_animal_in_smart","dom_animal_health_status_recorded","dom_animal_health_status_smart","other_wl_health_data","why_not_wl_health_data","smart_version","smart_connect","set_up_connect","smart_fully_rolled_out","add_health_atributes","position","survey","or_number_pas","local","country"
"1","10/27/22 15:58","Aguas Turbias National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"2","10/27/22 15:58","Bacalar Chico National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"3","10/27/22 15:58","Billy Barquedier National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"4","10/27/22 15:58","Chiquibul National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"5","10/27/22 15:58","Five Blues Lakes National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"6","10/27/22 15:58","Gra Gra Lagoon National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"7","10/27/22 15:58","Guanacaste National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"8","10/27/22 15:58","Honey Camp National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"9","10/27/22 15:58","Mayflower Bocawina National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"10","10/27/22 15:58","Monkey Bay National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"11","10/27/22 15:58","Nojkaaxmeen Elijio Panti National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
"12","10/27/22 15:58","Payne's Creek National Park - Belize",FALSE,"Strongly agree","Agree","Somewhat Disagree","Strongly agree","Strongly agree","Occasionally","Rarely","Sometimes","Between one to two days",10,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife is recorded in another way","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","Number seen","Lack of expertise on how to properly record this information","7.4","Yes","","Partially rolled-out","Yes","Other",7,56,FALSE,"Belize"
