Timestamp,Score,"1. Please enter all the name(s) of the protected area(s) that apply.
If there is more than one protected area(s) name(s), please separate them by hitting enter in the answer space below","2. Wildlife health, including infectious and non-infectious diseases, is important to achieve the conservation goals of the protected areas where I work ",3. Pathogens carried by wildlife inhabiting the protected area I work in can affect livestock health    ,4. Pathogens carried by wildlife inhabiting the protected area I work in can affect public health,5. Human or livestock pathogens can affect wildlife populations inhabiting the protected area I work in,"6. Introduced domestic animals (e.g., dogs, cats, cattle, pigs, cats) are a concern for the conservation goals of the protected areas where I work",7. Are dead animals encountered in the protected area? ,8. Are sick or injured animals encountered in the protected area? ,9. Are livestock encountered in the protected area?,"10. How long, on average, are the patrols in the protected area?","11. On average, how many patrols are completed in the protected area in one month?",12. Are healthy wildlife found during patrols (rangers or others) recorded as a specific category of individuals?,12.a Please select one of the choices below to help us understand how healthy wildlife are recorded during a patrol:,12.b Please indicate what type of data are recorded (check all that apply),12.c Are these data entered and stored in SMART Desktop?,12.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,13. Are dead wildlife found during patrols recorded as a specific category of individuals? ,13.a Please select one of the choices below to help us understand how dead wildlife are recorded during a patrol:,13.b Please indicate what type of data are recorded (check all that apply),13.c Are these data entered and stored in SMART Desktop?,13.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,14. Are injured wildlife found during patrols recorded as a specific category of individuals? ,14.a Please select one of the choices below to help us understand how injured wildlife are recorded during a patrol:,14.b Please indicate what type of data are recorded (check all that apply),14.c Are these data entered and stored in SMART Desktop?,14.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded?,15. Are sick wildlife found during patrols recorded as a specific category of individuals? ,15.a Please select one of the choices below to help us understand how sick wildlife are recorded during a patrol:,15.b Please indicate what type of data are recorded (check all that apply),15.c Are these data entered and stored in SMART Desktop?,15.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,"16. Are domestic animals found in the protected area (free-ranging, captive, on a farm)?","17. If observed on a patrol, is the presence of domestic animals recorded?",17.a Are these data entered in SMART Desktop?,"18. Is the health status of the observed domestic animals recorded (healthy, sick or injured, dead) recorded?",18.a Are these data entered in SMART Desktop?,19. Is any other data relevant to wildlife health collected during the patrols?,"20. If no data are collected on dead, sick, or injured wildlife, please select the best explanation(s) for why this information is not collected (check all that apply)",21. What version of SMART Desktop is currently used in the protected area?,22. Is SMART Connect available to manage and transfer information between SMART Desktop and SMART Mobile? ,22.a Are there plans to set up SMART Connect instance and when?,23. Is SMART fully rolled-out in the protected area(s) you work in or is it being piloted?,24. Would you be interested in adding a set of categories and attributes to your data model in order to facilitate the collection of wildlife health data (morbidity/mortality findings and events)? ,25. Please select the option that best describes your position
10/27/2022 10:47:53,,Mann Wildlife Sanctuary,Agree,Agree,Agree,Agree,Agree,Sometimes,Very rarely,Sometimes,Between four days and a week,2,Yes,Healthy wildlife is recorded in another way,"Species, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,Yes,No,No,,not yet,"Lack of expertise on how to properly record this information, Never thought about it, We use the default SMART data model which does not include sick, dead or injured wildlife",SMART mobile 7,Yes,,Under pilot,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/27/2022 11:06:48,,Wangchuck Centennial National Park ,Strongly agree,Agree,Agree,Agree,Strongly agree,Very frequently,Sometimes,Very frequently,Less than a day,50,Yes,Each individual healthy animal is recorded as an individual observation,"Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,Location ,"Dead, sick or injured wildlife are seldom found",6.3,No,"Yes, ",Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/27/2022 11:21:32,,Tapir Mountain Nature Reserve,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Sometimes,Occasionally,Rarely,Less than a day,14,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,No,Yes,Yes,No,,If we do joint wildlife rehabilitation releases with other NGOs,"We use the default SMART data model which does not include sick, dead or injured wildlife",Version 7.5.2,Yes,,Fully rolled-out,No,I am directly responsible for managing SMART data in one or more protected areas
10/27/2022 11:44:11,,"All are community conservancies in Kenya
LUMO community Conservancy
Mgeno Conservancy
Taita Hills Sanctuary
Taita Wildlife conservancy
Kasigau wildlife conservancy
Tanzania
Rombo District
Mwanga district
Same District
Lushoto District
Korogwe District",Strongly agree,Strongly agree,Agree,Agree,Agree,Very frequently,Occasionally,Always,Less than a day,300,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Species, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Species, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,,No,"We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,No,Yes,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/27/2022 11:50:19,,"WCNP, JDNP, JWS, PWS, Royal Manas National Park, Jigme Khesar Strict Nature Reserve, Jigme Singye Wangchuck, PNP, SWS & BWS and 14 Divisional forest ",Agree,Agree,Neutral,Agree,Agree,Sometimes,Sometimes,Very frequently,Between four days and a week,3500,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,Age of sign of dead animal,Lack of expertise on how to properly record this information,6.3 and upgrading to 7.5.4 in few weeks time ,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/27/2022 12:41:14,,Gbele Resource Reserve ,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Occasionally,Occasionally,Occasionally,Between one to two days,17,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,"During patrol within the Gbele Resource Reserve suspected wildlife health cases  are reported to the officer in charge of zoonotic disease control. This reporting is done through a designed template to capture all relevant information such as species, symptoms, location, pictures etc ","We use the default SMART data model which does not include sick, dead or injured wildlife",Version 6.3.0,No,Yes by end of 2022,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/27/2022 15:58:29,,Belize National Protected Areas System,Strongly agree,Agree,Somewhat Disagree,Strongly agree,Strongly agree,Occasionally,Rarely,Sometimes,Between one to two days,10,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Age, Sex, Body condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife is recorded in another way,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,Yes,Yes,Number seen,Lack of expertise on how to properly record this information,7.4,Yes,,Partially rolled-out,Yes,Other
10/27/2022 16:10:35,,The mountainous part of Croatia where wolves live (about 20000 sq km).,Agree,Neutral,Neutral,Disagree,Agree,Occasionally,Sometimes,Occasionally,Less than a day,10,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife is recorded in another way,"Photographs, Species, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,No,,No,,No,Lack of expertise on how to properly record this information,7.5.4,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/27/2022 17:24:01,,"1. SM Tanjung Peropa
2. SM Tanjung Anolengo
3. SM Buton Utara
4. SM Tanjung Batikolo
5. SM Lambusango",Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very rarely,Sometimes,Sometimes,Between four days and a week,2,Yes,Each individual healthy animal is recorded as an individual observation,"Species, Age, Sex",None of these items are recorded in the corresponding SMART Conservation Area,In aplication of SMART,Yes,Each individual dead animal is recorded as an individual observation,"Species, Age, Sex",None of these items are recorded in the corresponding SMART Conservation Area,In aplication of SMART,Yes,Each individual injured animal is recorded as an individual observation,"Species, Age, Sex",None of these items are recorded in the corresponding SMART Conservation Area,Aplication,Yes,Each individual sick animal is recorded as an individual observation,"Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,No,,No,,No,"We use the default SMART data model which does not include sick, dead or injured wildlife",5,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/27/2022 19:51:58,,Conservation South Luangwa ,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Very frequently,Occasionally,Sometimes,Between four days and a week,20,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Age, Sex, Body condition, Other",None of these items are recorded in the corresponding SMART Conservation Area,Spread sheet in excel ,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Suspect cause of injury, Other",None of these items are recorded in the corresponding SMART Conservation Area,Recorded in smart as a follow up with the vet doctor who records on a spread sheet in excel ,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",None of these items are recorded in the corresponding SMART Conservation Area,Spread sheet in excel ,Yes,Yes,Yes,No,,Duration of treating the animal if vet is available ,"We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
